Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

Could not find version of build tools that matches Target SDK, using 35.0.0
[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[  14% ] _update_scan_actions | frame_0041.png
[  14% ] _update_scan_actions | frame_0042.png
[  14% ] _update_scan_actions | frame_0043.png
[  15% ] _update_scan_actions | frame_0044.png
[  15% ] _update_scan_actions | frame_0045.png
[  15% ] _update_scan_actions | frame_0046.png
[  15% ] _update_scan_actions | frame_0047.png
[  16% ] _update_scan_actions | frame_0048.png
[  16% ] _update_scan_actions | frame_0049.png
[  16% ] _update_scan_actions | frame_0050.png
[  16% ] _update_scan_actions | frame_0051.png
[  17% ] _update_scan_actions | frame_0052.png
[  17% ] _update_scan_actions | frame_0053.png
[  17% ] _update_scan_actions | frame_0054.png
[  17% ] _update_scan_actions | frame_0055.png
[  18% ] _update_scan_actions | frame_0056.png
[  18% ] _update_scan_actions | frame_0057.png
[  18% ] _update_scan_actions | frame_0058.png
[  18% ] _update_scan_actions | frame_0059.png
[  19% ] _update_scan_actions | frame_0060.png
[  19% ] _update_scan_actions | frame_0061.png
[  19% ] _update_scan_actions | frame_0062.png
[  20% ] _update_scan_actions | frame_0063.png
[  20% ] _update_scan_actions | frame_0064.png
[  20% ] _update_scan_actions | frame_0065.png
[  20% ] _update_scan_actions | frame_0066.png
[  21% ] _update_scan_actions | frame_0067.png
[  21% ] _update_scan_actions | frame_0068.png
[  21% ] _update_scan_actions | frame_0069.png
[  21% ] _update_scan_actions | frame_0070.png
[  22% ] _update_scan_actions | frame_0071.png
[  22% ] _update_scan_actions | frame_0072.png
[  22% ] _update_scan_actions | frame_0073.png
[  22% ] _update_scan_actions | frame_0074.png
[  23% ] _update_scan_actions | frame_0075.png
[  23% ] _update_scan_actions | frame_0076.png
[  23% ] _update_scan_actions | frame_0077.png
[  24% ] _update_scan_actions | frame_0078.png
[  24% ] _update_scan_actions | frame_0079.png
[  24% ] _update_scan_actions | frame_0080.png
[  24% ] _update_scan_actions | frame_0081.png
[  25% ] _update_scan_actions | frame_0082.png
[  25% ] _update_scan_actions | frame_0083.png
[  25% ] _update_scan_actions | frame_0084.png
[  25% ] _update_scan_actions | frame_0085.png
[  26% ] _update_scan_actions | frame_0086.png
[  26% ] _update_scan_actions | frame_0087.png
[  26% ] _update_scan_actions | frame_0088.png
[  26% ] _update_scan_actions | frame_0089.png
[  27% ] _update_scan_actions | frame_0090.png
[  27% ] _update_scan_actions | frame_0091.png
[  27% ] _update_scan_actions | frame_0092.png
[  27% ] _update_scan_actions | frame_0093.png
[  28% ] _update_scan_actions | frame_0094.png
[  28% ] _update_scan_actions | frame_0095.png
[  28% ] _update_scan_actions | frame_0096.png
[  29% ] _update_scan_actions | frame_0097.png
[  29% ] _update_scan_actions | frame_0098.png
[  29% ] _update_scan_actions | frame_0099.png
[  29% ] _update_scan_actions | frame_0100.png
[  30% ] _update_scan_actions | frame_0101.png
[  30% ] _update_scan_actions | frame_0102.png
[  30% ] _update_scan_actions | frame_0103.png
[  30% ] _update_scan_actions | frame_0104.png
[  31% ] _update_scan_actions | frame_0105.png
[  31% ] _update_scan_actions | frame_0106.png
[  31% ] _update_scan_actions | frame_0107.png
[  31% ] _update_scan_actions | frame_0108.png
[  32% ] _update_scan_actions | frame_0109.png
[  32% ] _update_scan_actions | frame_0110.png
[  32% ] _update_scan_actions | frame_0111.png
[  32% ] _update_scan_actions | frame_0112.png
[  33% ] _update_scan_actions | frame_0113.png
[  33% ] _update_scan_actions | frame_0114.png
[  33% ] _update_scan_actions | frame_0115.png
[  34% ] _update_scan_actions | frame_0116.png
[  34% ] _update_scan_actions | frame_0117.png
[  34% ] _update_scan_actions | frame_0118.png
[  34% ] _update_scan_actions | frame_0119.png
[  35% ] _update_scan_actions | frame_0120.png
[  35% ] _update_scan_actions | frame_0121.png
[  35% ] _update_scan_actions | frame_0122.png
[  35% ] _update_scan_actions | frame_0123.png
[  36% ] _update_scan_actions | frame_0124.png
[  36% ] _update_scan_actions | frame_0125.png
[  36% ] _update_scan_actions | frame_0126.png
[  36% ] _update_scan_actions | frame_0127.png
[  37% ] _update_scan_actions | frame_0128.png
[  37% ] _update_scan_actions | frame_0129.png
[  37% ] _update_scan_actions | frame_0130.png
[  37% ] _update_scan_actions | frame_0131.png
[  38% ] _update_scan_actions | frame_0132.png
[  38% ] _update_scan_actions | frame_0133.png
[  38% ] _update_scan_actions | frame_0134.png
[  39% ] _update_scan_actions | frame_0135.png
[  39% ] _update_scan_actions | frame_0136.png
[  39% ] _update_scan_actions | frame_0137.png
[  39% ] _update_scan_actions | frame_0138.png
[  40% ] _update_scan_actions | frame_0139.png
[  40% ] _update_scan_actions | frame_0140.png
[  40% ] _update_scan_actions | frame_0141.png
[  40% ] _update_scan_actions | frame_0142.png
[  41% ] _update_scan_actions | frame_0143.png
[  41% ] _update_scan_actions | frame_0144.png
[  41% ] _update_scan_actions | frame_0145.png
[  41% ] _update_scan_actions | frame_0146.png
[  42% ] _update_scan_actions | frame_0147.png
[  42% ] _update_scan_actions | frame_0148.png
[  42% ] _update_scan_actions | frame_0149.png
[  43% ] _update_scan_actions | frame_0150.png
[  43% ] _update_scan_actions | frame_0151.png
[  43% ] _update_scan_actions | frame_0152.png
[  43% ] _update_scan_actions | frame_0153.png
[  44% ] _update_scan_actions | frame_0154.png
[  44% ] _update_scan_actions | frame_0155.png
[  44% ] _update_scan_actions | frame_0156.png
[  44% ] _update_scan_actions | frame_0157.png
[  45% ] _update_scan_actions | frame_0158.png
[  45% ] _update_scan_actions | frame_0159.png
[  45% ] _update_scan_actions | frame_0160.png
[  45% ] _update_scan_actions | frame_0161.png
[  46% ] _update_scan_actions | frame_0162.png
[  46% ] _update_scan_actions | frame_0163.png
[  46% ] _update_scan_actions | frame_0164.png
[  46% ] _update_scan_actions | frame_0165.png
[  47% ] _update_scan_actions | frame_0166.png
[  47% ] _update_scan_actions | frame_0167.png
[  47% ] _update_scan_actions | frame_0168.png
[  48% ] _update_scan_actions | frame_0169.png
[  48% ] _update_scan_actions | frame_0170.png
[  48% ] _update_scan_actions | frame_0171.png
[  48% ] _update_scan_actions | frame_0172.png
[  49% ] _update_scan_actions | frame_0173.png
[  49% ] _update_scan_actions | frame_0174.png
[  49% ] _update_scan_actions | frame_0175.png
[  49% ] _update_scan_actions | frame_0176.png
[  50% ] _update_scan_actions | frame_0177.png
[  50% ] _update_scan_actions | frame_0178.png
[  50% ] _update_scan_actions | frame_0179.png
[  50% ] _update_scan_actions | frame_0180.png
[  51% ] _update_scan_actions | frame_0181.png
[  51% ] _update_scan_actions | frame_0182.png
[  51% ] _update_scan_actions | frame_0183.png
[  51% ] _update_scan_actions | frame_0184.png
[  52% ] _update_scan_actions | frame_0185.png
[  52% ] _update_scan_actions | frame_0186.png
[  52% ] _update_scan_actions | frame_0187.png
[  53% ] _update_scan_actions | frame_0188.png
[  53% ] _update_scan_actions | frame_0189.png
[  53% ] _update_scan_actions | frame_0190.png
[  53% ] _update_scan_actions | frame_0191.png
[  54% ] _update_scan_actions | frame_0192.png
[  54% ] _update_scan_actions | frame_0193.png
[  54% ] _update_scan_actions | frame_0194.png
[  54% ] _update_scan_actions | frame_0195.png
[  55% ] _update_scan_actions | frame_0196.png
[  55% ] _update_scan_actions | frame_0197.png
[  55% ] _update_scan_actions | frame_0198.png
[  55% ] _update_scan_actions | frame_0199.png
[  56% ] _update_scan_actions | frame_0200.png
[  56% ] _update_scan_actions | frame_0201.png
[  56% ] _update_scan_actions | frame_0202.png
[  56% ] _update_scan_actions | frame_0203.png
[  57% ] _update_scan_actions | frame_0204.png
[  57% ] _update_scan_actions | frame_0205.png
[  57% ] _update_scan_actions | frame_0206.png
[  58% ] _update_scan_actions | frame_0207.png
[  58% ] _update_scan_actions | frame_0208.png
[  58% ] _update_scan_actions | frame_0209.png
[  58% ] _update_scan_actions | frame_0210.png
[  59% ] _update_scan_actions | frame_0211.png
[  59% ] _update_scan_actions | frame_0212.png
[  59% ] _update_scan_actions | frame_0213.png
[  59% ] _update_scan_actions | frame_0214.png
[  60% ] _update_scan_actions | frame_0215.png
[  60% ] _update_scan_actions | frame_0216.png
[  60% ] _update_scan_actions | frame_0217.png
[  60% ] _update_scan_actions | frame_0218.png
[  61% ] _update_scan_actions | frame_0219.png
[  61% ] _update_scan_actions | frame_0220.png
[  61% ] _update_scan_actions | frame_0221.png
[  62% ] _update_scan_actions | frame_0222.png
[  62% ] _update_scan_actions | frame_0223.png
[  62% ] _update_scan_actions | frame_0224.png
[  62% ] _update_scan_actions | frame_0225.png
[  63% ] _update_scan_actions | frame_0226.png
[  63% ] _update_scan_actions | frame_0227.png
[  63% ] _update_scan_actions | frame_0228.png
[  63% ] _update_scan_actions | frame_0229.png
[  64% ] _update_scan_actions | frame_0230.png
[  64% ] _update_scan_actions | frame_0231.png
[  64% ] _update_scan_actions | frame_0232.png
[  64% ] _update_scan_actions | frame_0233.png
[  65% ] _update_scan_actions | frame_0234.png
[  65% ] _update_scan_actions | frame_0235.png
[  65% ] _update_scan_actions | frame_0236.png
[  65% ] _update_scan_actions | frame_0237.png
[  66% ] _update_scan_actions | frame_0238.png
[  66% ] _update_scan_actions | frame_0239.png
[  66% ] _update_scan_actions | frame_0240.png
[  67% ] _update_scan_actions | frame_0241.png
[  67% ] _update_scan_actions | frame_0242.png
[  67% ] _update_scan_actions | frame_0243.png
[  67% ] _update_scan_actions | frame_0244.png
[  68% ] _update_scan_actions | frame_0245.png
[  68% ] _update_scan_actions | frame_0246.png
[  68% ] _update_scan_actions | frame_0247.png
[  68% ] _update_scan_actions | frame_0248.png
[  69% ] _update_scan_actions | frame_0249.png
[  69% ] _update_scan_actions | frame_0250.png
[  69% ] _update_scan_actions | frame_0251.png
[  69% ] _update_scan_actions | frame_0252.png
[  70% ] _update_scan_actions | frame_0253.png
[  70% ] _update_scan_actions | frame_0254.png
[  70% ] _update_scan_actions | frame_0255.png
[  70% ] _update_scan_actions | frame_0256.png
[  71% ] _update_scan_actions | frame_0257.png
[  71% ] _update_scan_actions | frame_0258.png
[  71% ] _update_scan_actions | frame_0259.png
[  72% ] _update_scan_actions | frame_0260.png
[  72% ] _update_scan_actions | frame_0261.png
[  72% ] _update_scan_actions | frame_0262.png
[  72% ] _update_scan_actions | frame_0263.png
[  73% ] _update_scan_actions | frame_0264.png
[  73% ] _update_scan_actions | frame_0265.png
[  73% ] _update_scan_actions | frame_0266.png
[  73% ] _update_scan_actions | frame_0267.png
[  74% ] _update_scan_actions | frame_0268.png
[  74% ] _update_scan_actions | frame_0269.png
[  74% ] _update_scan_actions | frame_0270.png
[  74% ] _update_scan_actions | frame_0271.png
[  75% ] _update_scan_actions | frame_0272.png
[  75% ] _update_scan_actions | frame_0273.png
[  75% ] _update_scan_actions | frame_0274.png
[  75% ] _update_scan_actions | frame_0275.png
[  76% ] _update_scan_actions | frame_0276.png
[  76% ] _update_scan_actions | frame_0277.png
[  76% ] _update_scan_actions | frame_0278.png
[  77% ] _update_scan_actions | frame_0279.png
[  77% ] _update_scan_actions | frame_0280.png
[  77% ] _update_scan_actions | frame_0281.png
[  77% ] _update_scan_actions | frame_0282.png
[  78% ] _update_scan_actions | frame_0283.png
[  78% ] _update_scan_actions | frame_0284.png
[  78% ] _update_scan_actions | frame_0285.png
[  78% ] _update_scan_actions | frame_0286.png
[  79% ] _update_scan_actions | frame_0287.png
[  79% ] _update_scan_actions | frame_0288.png
[  79% ] _update_scan_actions | frame_0289.png
[  79% ] _update_scan_actions | frame_0290.png
[  80% ] _update_scan_actions | frame_0291.png
[  80% ] _update_scan_actions | frame_0292.png
[  80% ] _update_scan_actions | frame_0293.png
[  81% ] _update_scan_actions | frame_0294.png
[  81% ] _update_scan_actions | frame_0295.png
[  81% ] _update_scan_actions | frame_0296.png
[  81% ] _update_scan_actions | frame_0297.png
[  82% ] _update_scan_actions | frame_0298.png
[  82% ] _update_scan_actions | frame_0299.png
[  82% ] _update_scan_actions | frame_0300.png
[  82% ] _update_scan_actions | frame_0301.png
[  83% ] _update_scan_actions | frame_0302.png
[  83% ] _update_scan_actions | frame_0303.png
[  83% ] _update_scan_actions | frame_0304.png
[  83% ] _update_scan_actions | frame_0305.png
[  84% ] _update_scan_actions | frame_0306.png
[  84% ] _update_scan_actions | frame_0307.png
[  84% ] _update_scan_actions | frame_0308.png
[  84% ] _update_scan_actions | frame_0309.png
[  85% ] _update_scan_actions | frame_0310.png
[  85% ] _update_scan_actions | frame_0311.png
[  85% ] _update_scan_actions | frame_0312.png
[  86% ] _update_scan_actions | frame_0313.png
[  86% ] _update_scan_actions | frame_0314.png
[  86% ] _update_scan_actions | frame_0315.png
[  86% ] _update_scan_actions | frame_0316.png
[  87% ] _update_scan_actions | frame_0317.png
[  87% ] _update_scan_actions | frame_0318.png
[  87% ] _update_scan_actions | frame_0319.png
[  87% ] _update_scan_actions | frame_0320.png
[  88% ] _update_scan_actions | frame_0321.png
[  88% ] _update_scan_actions | frame_0322.png
[  88% ] _update_scan_actions | frame_0323.png
[  88% ] _update_scan_actions | frame_0324.png
[  89% ] _update_scan_actions | frame_0325.png
[  89% ] _update_scan_actions | frame_0326.png
[  89% ] _update_scan_actions | frame_0327.png
[  89% ] _update_scan_actions | frame_0328.png
[  90% ] _update_scan_actions | frame_0329.png
[  90% ] _update_scan_actions | frame_0330.png
[  90% ] _update_scan_actions | frame_0331.png
[  91% ] _update_scan_actions | frame_0332.png
[  91% ] _update_scan_actions | frame_0333.png
[  91% ] _update_scan_actions | frame_0334.png
[  91% ] _update_scan_actions | frame_0335.png
[  92% ] _update_scan_actions | frame_0336.png
[  92% ] _update_scan_actions | frame_0337.png
[  92% ] _update_scan_actions | frame_0338.png
[  92% ] _update_scan_actions | frame_0339.png
[  93% ] _update_scan_actions | frame_0340.png
[  93% ] _update_scan_actions | frame_0341.png
[  93% ] _update_scan_actions | frame_0342.png
[  93% ] _update_scan_actions | frame_0343.png
[  94% ] _update_scan_actions | frame_0344.png
[  94% ] _update_scan_actions | frame_0345.png
[  94% ] _update_scan_actions | frame_0346.png
[  94% ] _update_scan_actions | frame_0347.png
[  95% ] _update_scan_actions | frame_0348.png
[  95% ] _update_scan_actions | frame_0349.png
[  95% ] _update_scan_actions | frame_0350.png
[  96% ] _update_scan_actions | frame_0351.png
[  96% ] _update_scan_actions | frame_0352.png
[  96% ] _update_scan_actions | frame_0353.png
[  96% ] _update_scan_actions | frame_0354.png
[  97% ] _update_scan_actions | frame_0355.png
[  97% ] _update_scan_actions | frame_0356.png
[  97% ] _update_scan_actions | frame_0357.png
[  97% ] _update_scan_actions | frame_0358.png
[  98% ] _update_scan_actions | frame_0359.png
[  98% ] _update_scan_actions | chogan-device-after-start.png
[  98% ] _update_scan_actions | chogan-device-flow-2.png
[  98% ] _update_scan_actions | chogan-device-flow-3.png
[  99% ] _update_scan_actions | chogan-device-flow-4.png
[  99% ] _update_scan_actions | chogan-device-main.png
[ DONE ] _update_scan_actions

[   0% ] reimport | Started (Re)Importing Assets (368 steps)
[   0% ] reimport | Preparing files to reimport...
[   0% ] reimport | Preparing files to reimport...
[   0% ] reimport | Preparing files to reimport...
[   0% ] reimport | Preparing files to reimport...
[   1% ] reimport | Preparing files to reimport...
[   1% ] reimport | Preparing files to reimport...
[   1% ] reimport | Preparing files to reimport...
[   1% ] reimport | Preparing files to reimport...
[   2% ] reimport | Preparing files to reimport...
[   2% ] reimport | Preparing files to reimport...
[   2% ] reimport | Preparing files to reimport...
[   2% ] reimport | Preparing files to reimport...
[   3% ] reimport | Preparing files to reimport...
[   3% ] reimport | Preparing files to reimport...
[   3% ] reimport | Preparing files to reimport...
[   4% ] reimport | Preparing files to reimport...
[   4% ] reimport | Preparing files to reimport...
[   4% ] reimport | Preparing files to reimport...
[   4% ] reimport | Preparing files to reimport...
[   5% ] reimport | Preparing files to reimport...
[   5% ] reimport | Preparing files to reimport...
[   5% ] reimport | Preparing files to reimport...
[   5% ] reimport | Preparing files to reimport...
[   6% ] reimport | Preparing files to reimport...
[   6% ] reimport | Preparing files to reimport...
[   6% ] reimport | Preparing files to reimport...
[   7% ] reimport | Preparing files to reimport...
[   7% ] reimport | Preparing files to reimport...
[   7% ] reimport | Preparing files to reimport...
[   7% ] reimport | Preparing files to reimport...
[   8% ] reimport | Preparing files to reimport...
[   8% ] reimport | Preparing files to reimport...
[   8% ] reimport | Preparing files to reimport...
[   8% ] reimport | Preparing files to reimport...
[   9% ] reimport | Preparing files to reimport...
[   9% ] reimport | Preparing files to reimport...
[   9% ] reimport | Preparing files to reimport...
[  10% ] reimport | Preparing files to reimport...
[  10% ] reimport | Preparing files to reimport...
[  10% ] reimport | Preparing files to reimport...
[  10% ] reimport | Preparing files to reimport...
[  11% ] reimport | Preparing files to reimport...
[  11% ] reimport | Preparing files to reimport...
[  11% ] reimport | Preparing files to reimport...
[  11% ] reimport | Preparing files to reimport...
[  12% ] reimport | Preparing files to reimport...
[  12% ] reimport | Preparing files to reimport...
[  12% ] reimport | Preparing files to reimport...
[  13% ] reimport | Preparing files to reimport...
[  13% ] reimport | Preparing files to reimport...
[  13% ] reimport | Preparing files to reimport...
[  13% ] reimport | Preparing files to reimport...
[  14% ] reimport | Preparing files to reimport...
[  14% ] reimport | Preparing files to reimport...
[  14% ] reimport | Preparing files to reimport...
[  14% ] reimport | Preparing files to reimport...
[  15% ] reimport | Preparing files to reimport...
[  15% ] reimport | Preparing files to reimport...
[  15% ] reimport | Preparing files to reimport...
[  15% ] reimport | Preparing files to reimport...
[  16% ] reimport | Preparing files to reimport...
[  16% ] reimport | Preparing files to reimport...
[  16% ] reimport | Preparing files to reimport...
[  17% ] reimport | Preparing files to reimport...
[  17% ] reimport | Preparing files to reimport...
[  17% ] reimport | Preparing files to reimport...
[  17% ] reimport | Preparing files to reimport...
[  18% ] reimport | Preparing files to reimport...
[  18% ] reimport | Preparing files to reimport...
[  18% ] reimport | Preparing files to reimport...
[  18% ] reimport | Preparing files to reimport...
[  19% ] reimport | Preparing files to reimport...
[  19% ] reimport | Preparing files to reimport...
[  19% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  20% ] reimport | Preparing files to reimport...
[  21% ] reimport | Preparing files to reimport...
[  21% ] reimport | Preparing files to reimport...
[  21% ] reimport | Preparing files to reimport...
[  21% ] reimport | Preparing files to reimport...
[  22% ] reimport | Preparing files to reimport...
[  22% ] reimport | Preparing files to reimport...
[  22% ] reimport | Preparing files to reimport...
[  23% ] reimport | Preparing files to reimport...
[  23% ] reimport | Preparing files to reimport...
[  23% ] reimport | Preparing files to reimport...
[  23% ] reimport | Preparing files to reimport...
[  24% ] reimport | Preparing files to reimport...
[  24% ] reimport | Preparing files to reimport...
[  24% ] reimport | Preparing files to reimport...
[  24% ] reimport | Preparing files to reimport...
[  25% ] reimport | Preparing files to reimport...
[  25% ] reimport | Preparing files to reimport...
[  25% ] reimport | Preparing files to reimport...
[  26% ] reimport | Preparing files to reimport...
[  26% ] reimport | Preparing files to reimport...
[  26% ] reimport | Preparing files to reimport...
[  26% ] reimport | Preparing files to reimport...
[  27% ] reimport | Preparing files to reimport...
[  27% ] reimport | Preparing files to reimport...
[  27% ] reimport | Preparing files to reimport...
[  27% ] reimport | Preparing files to reimport...
[  28% ] reimport | Preparing files to reimport...
[  28% ] reimport | Preparing files to reimport...
[  28% ] reimport | Preparing files to reimport...
[  28% ] reimport | Preparing files to reimport...
[  29% ] reimport | Preparing files to reimport...
[  29% ] reimport | Preparing files to reimport...
[  29% ] reimport | Preparing files to reimport...
[  30% ] reimport | Preparing files to reimport...
[  30% ] reimport | Preparing files to reimport...
[  30% ] reimport | Preparing files to reimport...
[  30% ] reimport | Preparing files to reimport...
[  31% ] reimport | Preparing files to reimport...
[  31% ] reimport | Preparing files to reimport...
[  31% ] reimport | Preparing files to reimport...
[  31% ] reimport | Preparing files to reimport...
[  32% ] reimport | Preparing files to reimport...
[  32% ] reimport | Preparing files to reimport...
[  32% ] reimport | Preparing files to reimport...
[  33% ] reimport | Preparing files to reimport...
[  33% ] reimport | Preparing files to reimport...
[  33% ] reimport | Preparing files to reimport...
[  33% ] reimport | Preparing files to reimport...
[  34% ] reimport | Preparing files to reimport...
[  34% ] reimport | Preparing files to reimport...
[  34% ] reimport | Preparing files to reimport...
[  34% ] reimport | Preparing files to reimport...
[  35% ] reimport | Preparing files to reimport...
[  35% ] reimport | Preparing files to reimport...
[  35% ] reimport | Preparing files to reimport...
[  36% ] reimport | Preparing files to reimport...
[  36% ] reimport | Preparing files to reimport...
[  36% ] reimport | Preparing files to reimport...
[  36% ] reimport | Preparing files to reimport...
[  37% ] reimport | Preparing files to reimport...
[  37% ] reimport | Preparing files to reimport...
[  37% ] reimport | Preparing files to reimport...
[  37% ] reimport | Preparing files to reimport...
[  38% ] reimport | Preparing files to reimport...
[  38% ] reimport | Preparing files to reimport...
[  38% ] reimport | Preparing files to reimport...
[  39% ] reimport | Preparing files to reimport...
[  39% ] reimport | Preparing files to reimport...
[  39% ] reimport | Preparing files to reimport...
[  39% ] reimport | Preparing files to reimport...
[  40% ] reimport | Preparing files to reimport...
[  40% ] reimport | Preparing files to reimport...
[  40% ] reimport | Preparing files to reimport...
[  40% ] reimport | Preparing files to reimport...
[  41% ] reimport | Preparing files to reimport...
[  41% ] reimport | Preparing files to reimport...
[  41% ] reimport | Preparing files to reimport...
[  42% ] reimport | Preparing files to reimport...
[  42% ] reimport | Preparing files to reimport...
[  42% ] reimport | Preparing files to reimport...
[  42% ] reimport | Preparing files to reimport...
[  43% ] reimport | Preparing files to reimport...
[  43% ] reimport | Preparing files to reimport...
[  43% ] reimport | Preparing files to reimport...
[  43% ] reimport | Preparing files to reimport...
[  44% ] reimport | Preparing files to reimport...
[  44% ] reimport | Preparing files to reimport...
[  44% ] reimport | Preparing files to reimport...
[  44% ] reimport | Preparing files to reimport...
[  45% ] reimport | Preparing files to reimport...
[  45% ] reimport | Preparing files to reimport...
[  45% ] reimport | Preparing files to reimport...
[  46% ] reimport | Preparing files to reimport...
[  46% ] reimport | Preparing files to reimport...
[  46% ] reimport | Preparing files to reimport...
[  46% ] reimport | Preparing files to reimport...
[  47% ] reimport | Preparing files to reimport...
[  47% ] reimport | Preparing files to reimport...
[  47% ] reimport | Preparing files to reimport...
[  47% ] reimport | Preparing files to reimport...
[  48% ] reimport | Preparing files to reimport...
[  48% ] reimport | Preparing files to reimport...
[  48% ] reimport | Preparing files to reimport...
[  49% ] reimport | Preparing files to reimport...
[  49% ] reimport | Preparing files to reimport...
[  49% ] reimport | Preparing files to reimport...
[  49% ] reimport | Preparing files to reimport...
[  50% ] reimport | Preparing files to reimport...
[  50% ] reimport | Preparing files to reimport...
[  50% ] reimport | Preparing files to reimport...
[  50% ] reimport | Preparing files to reimport...
[  51% ] reimport | Preparing files to reimport...
[  51% ] reimport | Preparing files to reimport...
[  51% ] reimport | Preparing files to reimport...
[  52% ] reimport | Preparing files to reimport...
[  52% ] reimport | Preparing files to reimport...
[  52% ] reimport | Preparing files to reimport...
[  52% ] reimport | Preparing files to reimport...
[  53% ] reimport | Preparing files to reimport...
[  53% ] reimport | Preparing files to reimport...
[  53% ] reimport | Preparing files to reimport...
[  53% ] reimport | Preparing files to reimport...
[  54% ] reimport | Preparing files to reimport...
[  54% ] reimport | Preparing files to reimport...
[  54% ] reimport | Preparing files to reimport...
[  55% ] reimport | Preparing files to reimport...
[  55% ] reimport | Preparing files to reimport...
[  55% ] reimport | Preparing files to reimport...
[  55% ] reimport | Preparing files to reimport...
[  56% ] reimport | Preparing files to reimport...
[  56% ] reimport | Preparing files to reimport...
[  56% ] reimport | Preparing files to reimport...
[  56% ] reimport | Preparing files to reimport...
[  57% ] reimport | Preparing files to reimport...
[  57% ] reimport | Preparing files to reimport...
[  57% ] reimport | Preparing files to reimport...
[  57% ] reimport | Preparing files to reimport...
[  58% ] reimport | Preparing files to reimport...
[  58% ] reimport | Preparing files to reimport...
[  58% ] reimport | Preparing files to reimport...
[  59% ] reimport | Preparing files to reimport...
[  59% ] reimport | Preparing files to reimport...
[  59% ] reimport | Preparing files to reimport...
